가입일자,사용자코드,연령대코드,성별,가입 수
'2018-02-02','회원-내국인','40대','F',6
'2018-02-02','회원-내국인','40대','M',15
'2018-02-02','회원-내국인','50대','F',3
'2018-02-02','회원-내국인','50대','M',10
'2018-02-03','회원-내국인','~10대','F',5
'2018-02-03','회원-내국인','~10대','M',3
'2018-02-03','회원-내국인','20대','F',24
'2018-02-03','회원-내국인','20대','M',36
'2018-02-03','회원-내국인','30대','F',9
'2018-02-03','회원-내국인','30대','M',21
'2018-02-03','회원-내국인','40대','F',2
'2018-02-03','회원-내국인','40대','M',8
'2018-02-03','회원-내국인','50대','M',7
'2018-02-03','회원-내국인','60대','M',1
'2018-02-03','회원-내국인','70대~','F',1
'2018-02-03','회원-내국인','70대~','M',1
'2018-02-04','회원-내국인','~10대','F',4
'2018-02-04','회원-내국인','~10대','M',1
'2018-02-04','회원-내국인','20대','F',23
'2018-02-04','회원-내국인','20대','M',14
'2018-02-04','회원-내국인','30대','F',11
'2018-02-04','회원-내국인','30대','M',17
'2018-02-04','회원-내국인','40대','F',7
'2018-02-04','회원-내국인','40대','M',12
'2018-02-04','회원-내국인','50대','F',5
'2018-02-04','회원-내국인','50대','M',7
'2018-02-04','회원-내국인','60대','M',4
'2018-02-05','회원-내국인','20대','F',21
'2018-02-05','회원-내국인','20대','M',22
'2018-02-05','회원-내국인','30대','F',5
'2018-02-05','회원-내국인','30대','M',20
'2018-02-05','회원-내국인','40대','F',3
'2018-02-05','회원-내국인','40대','M',12
'2018-02-05','회원-내국인','50대','F',3
'2018-02-05','회원-내국인','50대','M',2
'2018-02-05','회원-내국인','60대','M',1
'2018-02-06','회원-내국인','~10대','M',3
'2018-02-06','회원-내국인','20대','F',17
'2018-02-06','회원-내국인','20대','M',12
'2018-02-06','회원-내국인','30대','F',4
'2018-02-06','회원-내국인','30대','M',10
'2018-02-06','회원-내국인','40대','F',3
'2018-02-06','회원-내국인','40대','M',10
'2018-02-06','회원-내국인','50대','F',2
'2018-02-06','회원-내국인','50대','M',4
'2018-02-06','회원-내국인','60대','M',1
'2018-02-06','회원-내국인','70대~','M',1
'2018-02-07','회원-내국인','~10대','M',2
'2018-02-07','회원-내국인','20대','F',22
'2018-02-07','회원-내국인','20대','M',27
'2018-02-07','회원-내국인','30대','F',9
'2018-02-07','회원-내국인','30대','M',12
'2018-02-07','회원-내국인','40대','F',4
'2018-02-07','회원-내국인','40대','M',8
'2018-02-07','회원-내국인','50대','M',5
'2018-02-07','회원-내국인','60대','M',3
'2018-02-08','회원-내국인','~10대','F',4
'2018-02-08','회원-내국인','~10대','M',3
'2018-02-08','회원-내국인','20대','F',37
'2018-02-08','회원-내국인','20대','M',38
'2018-02-08','회원-내국인','30대','F',18
'2018-02-08','회원-내국인','30대','M',22
'2018-02-08','회원-내국인','40대','F',2
'2018-02-08','회원-내국인','40대','M',8
'2018-02-08','회원-내국인','50대','F',4
'2018-02-08','회원-내국인','50대','M',9
'2018-02-08','회원-내국인','60대','F',1
'2018-02-08','회원-내국인','60대','M',2
'2018-02-08','회원-내국인','70대~','F',1
'2018-02-08','회원-내국인','70대~','M',1
'2018-02-09','회원-내국인','~10대','F',4
'2018-02-09','회원-내국인','~10대','M',1
'2018-02-09','회원-내국인','20대','F',39
'2018-02-09','회원-내국인','20대','M',34
'2018-02-09','회원-내국인','30대','F',13
'2018-02-09','회원-내국인','30대','M',24
'2018-02-09','회원-내국인','40대','F',4
'2018-02-09','회원-내국인','40대','M',15
'2018-02-09','회원-내국인','50대','F',5
'2018-02-09','회원-내국인','50대','M',4
'2018-02-09','회원-내국인','60대','M',2
'2018-02-09','회원-내국인','70대~','M',2
'2018-02-10','회원-내국인','~10대','F',7
'2018-02-10','회원-내국인','~10대','M',5
'2018-02-10','회원-내국인','20대','F',29
'2018-02-10','회원-내국인','20대','M',47
'2018-02-10','회원-내국인','30대','F',15
'2018-02-10','회원-내국인','30대','M',28
'2018-02-10','회원-내국인','40대','F',7
'2018-02-10','회원-내국인','40대','M',15
'2018-02-10','회원-내국인','50대','F',5
'2018-02-10','회원-내국인','50대','M',11
'2018-02-11','회원-내국인','~10대','M',4
'2018-02-11','회원-내국인','20대','F',30
'2018-02-11','회원-내국인','20대','M',14
'2018-02-11','회원-내국인','30대','F',12
'2018-02-11','회원-내국인','30대','M',20
'2018-02-11','회원-내국인','40대','F',6
'2018-02-11','회원-내국인','40대','M',9
'2018-02-11','회원-내국인','50대','F',3
'2018-02-11','회원-내국인','50대','M',9
'2018-02-11','회원-내국인','60대','F',2
'2018-02-11','회원-내국인','60대','M',2
'2018-02-12','회원-내국인','~10대','F',9
'2018-02-12','회원-내국인','~10대','M',2
'2018-02-12','회원-내국인','20대','F',21
'2018-02-12','회원-내국인','20대','M',30
'2018-02-12','회원-내국인','30대','F',12
'2018-02-12','회원-내국인','30대','M',16
'2018-02-12','회원-내국인','40대','F',4
'2018-02-12','회원-내국인','40대','M',10
'2018-02-12','회원-내국인','50대','F',1
'2018-02-12','회원-내국인','50대','M',3
'2018-02-12','회원-내국인','70대~','F',1
'2018-02-13','회원-내국인','~10대','F',5
'2018-02-13','회원-내국인','~10대','M',8
'2018-02-13','회원-내국인','20대','F',42
'2018-02-13','회원-내국인','20대','M',45
'2018-02-13','회원-내국인','30대','F',14
'2018-02-13','회원-내국인','30대','M',15
'2018-02-13','회원-내국인','40대','F',6
'2018-02-13','회원-내국인','40대','M',14
'2018-02-13','회원-내국인','50대','F',5
'2018-02-13','회원-내국인','50대','M',6
'2018-02-13','회원-내국인','60대','F',1
'2018-02-13','회원-내국인','60대','M',2
'2018-02-13','회원-내국인','70대~','M',2
'2018-02-14','회원-내국인','~10대','F',8
'2018-02-14','회원-내국인','~10대','M',3
'2018-02-14','회원-내국인','20대','F',64
'2018-02-14','회원-내국인','20대','M',63
'2018-02-14','회원-내국인','30대','F',23
'2018-02-14','회원-내국인','30대','M',29
'2018-02-14','회원-내국인','40대','F',12
'2018-02-14','회원-내국인','40대','M',16
'2018-02-14','회원-내국인','50대','F',4
'2018-02-14','회원-내국인','50대','M',12
'2018-02-14','회원-내국인','60대','M',2
'2018-02-14','회원-내국인','70대~','F',1
'2018-02-15','회원-내국인','~10대','F',11
'2018-02-15','회원-내국인','~10대','M',18
'2018-02-15','회원-내국인','20대','F',48
'2018-02-15','회원-내국인','20대','M',48
'2018-02-15','회원-내국인','30대','F',15
'2018-02-15','회원-내국인','30대','M',23
'2018-02-15','회원-내국인','40대','F',9
'2018-02-15','회원-내국인','40대','M',23
'2018-02-15','회원-내국인','50대','F',6
'2018-02-15','회원-내국인','50대','M',7
'2018-02-15','회원-내국인','60대','F',1
'2018-02-15','회원-내국인','60대','M',4
'2018-02-16','회원-내국인','~10대','F',8
'2018-02-16','회원-내국인','~10대','M',8
'2018-02-16','회원-내국인','20대','F',66
'2018-02-16','회원-내국인','20대','M',50
'2018-02-16','회원-내국인','30대','F',24
'2018-02-16','회원-내국인','30대','M',26
'2018-02-16','회원-내국인','40대','F',24
'2018-02-16','회원-내국인','40대','M',30
'2018-02-16','회원-내국인','50대','F',5
'2018-02-16','회원-내국인','50대','M',8
'2018-02-16','회원-내국인','60대','F',2
'2018-02-16','회원-내국인','60대','M',2
'2018-02-16','회원-내국인','70대~','F',1
'2018-02-17','회원-내국인','~10대','F',10
'2018-02-17','회원-내국인','~10대','M',2
'2018-02-17','회원-내국인','20대','F',69
'2018-02-17','회원-내국인','20대','M',56
